YEAR,COUNTRY,UNEMP,INTRATE,GDP,CPI,HPI
1999,Australia,6.63,6.63,1.7,1.92,32.19
1999,Canada,6.97,6.09,1.41,2.37,38.94
1999,France,,5.28,1.37,0.99,46.5
1999,Germany,8.22,5.16,0.79,0.95,84.37
1999,Italy,11.07,5.38,1.5,2.09,66.43
1999,Japan,4.63,1.76,0.06,-0.99,139.53
1999,United Kingdom,5.89,5.53,1.44,1.5,41.86
1999,United States,4.07,6.14,1.7,2.62,62.21
2000,Australia,6.2775,6.3149999999999995,0.27749999999999997,4.445,33.5975
2000,Canada,6.834999999999999,5.9275,0.995,2.7175,40.065
2000,France,,5.3950000000000005,0.8375,1.6724999999999999,49.1
2000,Germany,7.799999999999999,5.262499999999999,0.4749999999999999,1.4425,84.3725
2000,Italy,10.587499999999999,5.5775,0.99,2.535,70.015
2000,Japan,4.7325,1.7425000000000002,0.7849999999999999,-0.6775,136.115
2000,United Kingdom,5.575,5.33,0.4375,1.1749999999999998,45.42
2000,United States,3.9650000000000003,6.03,0.735,3.3775,64.89750000000001
2001,Australia,6.7725,5.6175,1.0625,4.445,37.37
2001,Canada,7.225,5.4775,0.33499999999999996,2.5300000000000002,41.9625
2001,France,,4.9399999999999995,0.27,1.6349999999999998,52.975
2001,Germany,7.882499999999999,4.797499999999999,0.42,1.9849999999999999,84.4225
2001,Italy,9.522499999999999,5.1850000000000005,-0.019999999999999987,2.7875,75.75500000000001
2001,Japan,5.0425,1.3175000000000001,-0.32,-0.74,130.1175
2001,United Kingdom,5.015000000000001,4.93,0.8600000000000001,1.5750000000000002,49.11750000000001
2001,United States,4.74,5.0175,0.035,2.8324999999999996,69.39
2002,Australia,6.37,5.845,0.8775,2.9825,44.375
2002,Canada,7.665,5.29,0.8725,2.26,45.345
2002,France,,4.859999999999999,0.30500000000000005,1.9224999999999999,57.550000000000004
2002,Germany,8.7025,4.779999999999999,0.06249999999999999,1.4224999999999999,83.32
2002,Italy,9.0075,5.0325,0.2525,2.465,83.0125
2002,Japan,5.3575,1.2650000000000001,0.375,-0.92,123.175
2002,United Kingdom,5.1325,4.895,0.6425,1.475,57.0525
2002,United States,5.782500000000001,4.6125,0.5175,1.585,74.2775
2003,Australia,5.9325,5.3675,0.955,2.7350000000000003,52.375
2003,Canada,7.5775,4.8100000000000005,0.365,2.7675,49.1275
2003,France,8.0975,4.13,0.34,2.0975,64.4
2003,Germany,9.695,4.07,-0.07999999999999996,1.035,83.64750000000001
2003,Italy,8.669999999999998,4.295,0.0875,2.6725,91.54500000000002
2003,Japan,5.24,1.0050000000000001,0.5525,-0.2575,115.55499999999999
2003,United Kingdom,4.9675,4.529999999999999,0.8674999999999999,1.3749999999999998,65.9875
2003,United States,5.99,4.015,1.065,2.275,79.975
2004,Australia,5.3950000000000005,5.59,0.75,2.3449999999999998,55.6475
2004,Canada,7.1575,4.5775,0.9524999999999999,1.8575,53.16
2004,France,8.4675,4.1025,0.655,2.1425,74.075
2004,Germany,9.8475,4.035,0.01249999999999999,1.665,82.32000000000001
2004,Italy,7.9975000000000005,4.2575,0.2025,2.2075,100.64
2004,Japan,4.7325,1.4925000000000002,0.285,-0.010000000000000009,108.5075
2004,United Kingdom,4.6925,4.8825,0.35000000000000003,1.35,73.82000000000001
2004,United States,5.54,4.272499999999999,0.81,2.6775,87.535
2005,Australia,5.035,5.34,0.7875,2.69,56.6625
2005,Canada,6.7575,4.067500000000001,0.8200000000000001,2.21,57.405
2005,France,8.4925,3.4075,0.4075,1.7449999999999999,85.52499999999999
2005,Germany,11.1675,3.3525,0.46249999999999997,1.545,83.3475
2005,Italy,7.73,3.5549999999999997,0.345,1.9849999999999999,108.22500000000001
2005,Japan,4.4225,1.3525,0.5725,-0.2825,103.2225
2005,United Kingdom,4.75,4.4125,1.18,2.075,78.925
2005,United States,5.084999999999999,4.290000000000001,0.7725,3.39,96.69500000000001
2006,Australia,4.7775,5.5875,0.7875000000000001,3.5549999999999997,60.57750000000001
2006,Canada,6.2924999999999995,4.21,0.385,2.0025,64.12
2006,France,8.4475,3.7975000000000003,0.64,1.6724999999999999,95.825
